year,make,model,body_styles
2009,Acura,MDX,"[""SUV""]"
2009,Acura,RDX,"[""SUV""]"
2009,Acura,RL,"[""Sedan""]"
2009,Acura,TL,"[""Sedan""]"
2009,Acura,TSX,"[""Sedan""]"
2009,Aston Martin,DB9,"[""Coupe"", ""Convertible""]"
2009,Aston Martin,DBS,"[""Coupe"", ""Convertible""]"
2009,Aston Martin,Vantage,"[""Convertible"", ""Coupe""]"
2009,Audi,A3,"[""Wagon""]"
2009,Audi,A4,"[""Convertible"", ""Wagon"", ""Sedan""]"
2009,Audi,A5,"[""Coupe""]"
2009,Audi,A6,"[""Sedan"", ""Wagon""]"
2009,Audi,A8,"[""Sedan""]"
2009,Audi,Q5,"[""SUV""]"
2009,Audi,Q7,"[""SUV""]"
2009,Audi,R8,"[""Coupe""]"
2009,Audi,S4,"[""Convertible""]"
2009,Audi,S5,"[""Coupe""]"
2009,Audi,S6,"[""Sedan""]"
2009,Audi,S8,"[""Sedan""]"
2009,Audi,TT,"[""Coupe"", ""Convertible""]"
2009,Bentley,Arnage,"[""Sedan""]"
2009,Bentley,Azure,"[""Convertible""]"
2009,Bentley,Brooklands,"[""Coupe""]"
2009,Bentley,Continental,"[""Coupe"", ""Sedan"", ""Convertible""]"
2009,BMW,1 Series,"[""Coupe"", ""Convertible""]"
2009,BMW,3 Series,"[""Sedan"", ""Convertible"", ""Coupe"", ""Wagon""]"
2009,BMW,5 Series,"[""Sedan"", ""Wagon""]"
2009,BMW,6 Series,"[""Convertible"", ""Coupe""]"
2009,BMW,7 Series,"[""Sedan""]"
2009,BMW,M3,"[""Coupe"", ""Sedan"", ""Convertible""]"
2009,BMW,M5,"[""Sedan""]"
2009,BMW,M6,"[""Coupe"", ""Convertible""]"
2009,BMW,X3,"[""SUV""]"
2009,BMW,X5,"[""SUV""]"
2009,BMW,X6,"[""SUV""]"
2009,BMW,Z4,"[""Convertible""]"
2009,Buick,Enclave,"[""SUV""]"
2009,Buick,LaCrosse,"[""Sedan""]"
2009,Buick,Lucerne,"[""Sedan""]"
2009,Cadillac,CTS,"[""Sedan""]"
2009,Cadillac,DTS,"[""Sedan""]"
2009,Cadillac,Escalade,"[""SUV""]"
2009,Cadillac,Escalade ESV,"[""SUV""]"
2009,Cadillac,Escalade EXT,"[""Pickup""]"
2009,Cadillac,SRX,"[""SUV""]"
2009,Cadillac,STS,"[""Sedan""]"
2009,Cadillac,XLR,"[""Convertible""]"
2009,Chevrolet,Avalanche,"[""SUV""]"
2009,Chevrolet,Aveo,"[""Sedan"", ""Hatchback""]"
2009,Chevrolet,Cobalt,"[""Sedan"", ""Coupe""]"
2009,Chevrolet,Colorado Crew Cab,"[""Pickup""]"
2009,Chevrolet,Colorado Extended Cab,"[""Pickup""]"
2009,Chevrolet,Colorado Regular Cab,"[""Pickup""]"
2009,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]"
2009,Chevrolet,Equinox,"[""SUV""]"
2009,Chevrolet,Express 1500 Cargo,"[""Van/Minivan""]"
2009,Chevrolet,Express 1500 Passenger,"[""Van/Minivan""]"
2009,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]"
2009,Chevrolet,Express 2500 Passenger,"[""Van/Minivan""]"
2009,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
2009,Chevrolet,Express 3500 Passenger,"[""Van/Minivan""]"
2009,Chevrolet,HHR,"[""Wagon""]"
2009,Chevrolet,Impala,"[""Sedan""]"
2009,Chevrolet,Malibu,"[""Sedan""]"
2009,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
