year,make,model,body_styles
2015,Acura,ILX,"[""Sedan""]"
2015,Acura,MDX,"[""SUV""]"
2015,Acura,RDX,"[""SUV""]"
2015,Acura,RLX,"[""Sedan""]"
2015,Acura,TLX,"[""Sedan""]"
2015,Alfa Romeo,4C,"[""Coupe""]"
2015,Alfa Romeo,4C Spider,"[""Convertible""]"
2015,Aston Martin,DB9,"[""Coupe"", ""Convertible""]"
2015,Aston Martin,Rapide S,"[""Sedan""]"
2015,Aston Martin,Vanquish,"[""Coupe"", ""Convertible""]"
2015,Aston Martin,Vantage,"[""Coupe"", ""Convertible""]"
2015,Audi,A3,"[""Sedan"", ""Convertible""]"
2015,Audi,A4,"[""Sedan""]"
2015,Audi,A5,"[""Coupe"", ""Convertible""]"
2015,Audi,A6,"[""Sedan""]"
2015,Audi,A7,"[""Sedan""]"
2015,Audi,A8,"[""Sedan""]"
2015,Audi,allroad,"[""Wagon""]"
2015,Audi,Q3,"[""SUV""]"
2015,Audi,Q5,"[""SUV""]"
2015,Audi,Q7,"[""SUV""]"
2015,Audi,R8,"[""Coupe"", ""Convertible""]"
2015,Audi,RS 5,"[""Coupe"", ""Convertible""]"
2015,Audi,RS 7,"[""Sedan""]"
2015,Audi,S3,"[""Sedan""]"
2015,Audi,S4,"[""Sedan""]"
2015,Audi,S5,"[""Coupe"", ""Convertible""]"
2015,Audi,S6,"[""Sedan""]"
2015,Audi,S7,"[""Sedan""]"
2015,Audi,S8,"[""Sedan""]"
2015,Audi,SQ5,"[""SUV""]"
2015,Audi,TT,"[""Coupe"", ""Convertible""]"
2015,Bentley,Continental,"[""Coupe"", ""Convertible""]"
2015,Bentley,Flying Spur,"[""Sedan""]"
2015,Bentley,Mulsanne,"[""Sedan""]"
2015,BMW,2 Series,"[""Coupe"", ""Convertible""]"
2015,BMW,3 Series,"[""Sedan"", ""Wagon""]"
2015,BMW,4 Series,"[""Coupe"", ""Convertible""]"
2015,BMW,5 Series,"[""Sedan""]"
2015,BMW,6 Series,"[""Coupe"", ""Sedan"", ""Convertible""]"
2015,BMW,7 Series,"[""Sedan""]"
2015,BMW,i3,"[""Hatchback""]"
2015,BMW,i8,"[""Coupe""]"
2015,BMW,M3,"[""Sedan""]"
2015,BMW,M4,"[""Coupe"", ""Convertible""]"
2015,BMW,M5,"[""Sedan""]"
2015,BMW,M6,"[""Coupe"", ""Convertible""]"
2015,BMW,X1,"[""SUV""]"
2015,BMW,X3,"[""SUV""]"
2015,BMW,X4,"[""SUV""]"
2015,BMW,X5,"[""SUV""]"
2015,BMW,X5 M,"[""SUV""]"
2015,BMW,X6,"[""SUV""]"
2015,BMW,X6 M,"[""SUV""]"
2015,BMW,Z4,"[""Convertible""]"
2015,Buick,Enclave,"[""SUV""]"
2015,Buick,Encore,"[""SUV""]"
